RSST_Accruals,recch,invch,Soft_Assets,Change_Cash_Sales,Delta_ROA,Issued,Misstated
0.014665289,0.062496624,0.066374777,-0.227761358,-0.203868465,0.004700296,0,FALSE
0.012859577,0.056754706,0.063430007,-0.494644063,-0.207635466,0.004648283,0,FALSE
0.009205564,0.080230814,0.061342155,-0.265911591,-0.21143659,0.004664889,0,FALSE
0.018823019,0.051124643,0.063534163,-0.445178104,-0.212135735,0.004821595,0,FALSE
0.004164993,0.053551569,0.06270565,-0.163092351,-0.212603612,0.004652317,1,FALSE
0.014615919,0.057520747,0.062681978,-0.52473209,-0.212633844,0.004710109,0,FALSE
0.009580711,0.049141749,0.062535213,-0.484010816,-0.212524501,0.004713937,1,FALSE
0.009781649,0.056195428,0.061952887,-0.190476528,-0.212830535,0.004429602,0,FALSE
0.012719324,0.049656962,0.061133844,1.2167926004063303,-0.212465304,0.004816755,0,FALSE
0.006500249,0.05478876,0.058809274,0.910427615,-0.211914786,0.0046097,0,FALSE
0.000105935,1.332121578647135,0.062582557,-0.591438248,1.6214847486507566,0.002561126,0,FALSE
0.000105935,1.332121578647135,0.062582557,-0.591438248,1.6214847486507566,0.002561126,0,FALSE
0.013136282,0.056941132,0.057852934,0.8624588489728044,-0.21185767,0.004748392,0,TRUE
-0.001679816,0.052358444,0.053615685,0.8897979563238649,-0.211893877,0.004719569,0,TRUE
0.009944757,0.05347361,0.057833997,0.8341152803921655,-0.211431159,0.004635581,0,TRUE
0.01711987,0.055358206,0.060953938,0.9094938629221784,-0.211516969,0.004808279,0,FALSE
0.013005403,0.052046604,0.067416335,0.6373619745653909,-0.211062669,0.004783346,0,FALSE
0.011862505,0.05137547,0.065399499,0.8864660206499168,-0.211362458,0.004503746,0,FALSE
0.003735374,0.05617848,0.054572025,1.4355822240010123,-0.212019603,0.004308456,0,FALSE
-0.006169022,0.061239097,0.052029675,1.5505841249975274,-0.212603612,0.00440684,0,FALSE
0.029556737,0.048063868,0.063003915,1.3149658640024418,-0.211284614,0.005713222,0,FALSE
0.014792159,0.049877284,0.062492604,1.2475061333764212,-0.211470443,0.004345159,0,FALSE
0.013575022,0.052036435,0.064760361,1.130477565575908,-0.211529098,0.004677067,0,FALSE
0.020309576,0.05285332,0.05527271,1.1133148161629638,-0.211422923,0.004882149,0,FALSE
0.012285637,0.010924434,0.018051194,-0.56162168,-0.165432788,0.004693854,0,FALSE
0.012285637,0.010924434,0.018051194,-0.56162168,-0.165432788,0.004693854,0,FALSE
0.012570756,-0.110554088,-0.032369709,-0.409836486,-0.155494232,0.004693491,0,FALSE
0.012674842,0.1805516890121952,0.073869264,-0.462579937,-0.157588679,0.00469337,0,FALSE
0.012721655,0.1203564524488618,0.021403119,-0.561233795,-0.160866894,0.004696246,0,FALSE
0.012429603,0.021262599,0.065371093,-0.34480939,-0.154119386,0.004692349,0,FALSE
0.012429039,0.077986924,0.2263202962987916,-0.538345249,-0.158974568,0.004708903,0,FALSE
0.011929062,-0.035793903,0.090297483,-0.575115931,-0.155764331,0.004692703,0,FALSE
0.013409635,0.07073665,0.027685611,-0.640799905,-0.166286624,0.00469577,0,FALSE
0.012886789,0.0084026,0.1125016179054811,-0.686331004,-0.172167804,0.004699929,0,FALSE
0.013383623,-0.026940366,0.062729322,-0.770939304,-0.163824411,0.004708747,0,FALSE
0.036805853,0.1437410426313291,0.006717143,-0.40298496,-0.178894675,0.004645706,0,FALSE
0.012926361,0.023411582,0.096669928,-0.360772521,-0.170069374,0.004713421,0,FALSE
0.011794413,0.016632457,0.087674649,-0.321351791,-0.179908453,0.004699902,0,FALSE
0.011798971,0.020360976,0.063055993,-0.430574544,-0.177111512,0.004700188,0,FALSE
0.009249066,-0.000654311,0.056901328,-0.633444883,-0.167480619,0.004625679,0,FALSE
0.012698062,0.056968248,0.056901328,-0.697430994,-0.17220555,0.004765144,0,FALSE
0.012609904,0.079000403,0.1189214060965434,-0.499366129,-0.17374432,0.004690988,0,FALSE
0.012799998,-0.00607761,-0.010326542,-0.543727156,-0.167942251,0.004700235,0,FALSE
0.012483358,-0.017602122,-0.138627619,-0.462818438,-0.166267706,0.004684844,0,FALSE
0.012476194,0.1461137362286225,0.1440134985837339,-0.480648436,-0.165027638,0.00469317,0,FALSE
0.012372491,0.081373097,0.1364385272668462,-0.492655858,-0.162592761,0.004706698,0,FALSE
0.004367892,0.055785291,0.062189605,0.5880675695526054,-0.212462769,0.00446182,0,FALSE
-0.007797199,0.002531878,0.062582557,-1.312801069,-0.212508118,-0.006742232,0,FALSE
0.018654614,-0.75504885,0.025133792,-0.05452794,1.6494015730884255,0.004722801,1,FALSE
0.011588051,0.048751949,-1.53371482,-0.241337814,1.8134166617552376,0.004681947,1,FALSE
0.014089876,-1.08772422,-1.026892427,-0.230424849,1.8830593263507047,0.00468044,1,FALSE
-0.001247948,0.082854335,0.027055941,-0.274186414,-0.187322701,0.004633015,1,TRUE
0.018227759,0.085342274,0.059865036,-0.193184057,-0.172418171,0.00490352,1,TRUE
0.007856073,0.050745012,0.044601469,-0.352466503,-0.181175042,0.004777079,1,TRUE
0.007856073,0.050745012,0.044601469,-0.352466503,-0.181175042,0.004777079,1,TRUE
0.010078161,0.054171859,0.058558353,-0.613743671,-0.182454665,0.004682308,1,TRUE
0.001954487,0.1756266550166705,0.059348991,0.1779745128855702,-0.173484992,0.004375537,1,FALSE
0.013288998,0.059866324,0.074167529,0.696509572,-0.211876045,0.004838991,1,FALSE
-0.006686205,0.067042027,0.060598861,-0.29482138,-0.2146051,0.00460577,1,FALSE
0.067565278,0.054192197,0.062582557,0.086138059,-0.214258424,0.004656844,1,FALSE
0.008751733,0.054026108,0.063112805,0.2272871733507259,-0.213707091,0.004580279,0,FALSE
0.018095377,0.053982044,0.058449463,-0.247864474,-0.213322037,0.004605571,1,FALSE
0.030685727,0.054205755,0.058241151,-0.597698214,-0.21210668,0.004628525,1,FALSE
-0.000424067,0.052944838,0.062582557,0.1187613005145182,-0.213767103,0.004013489,0,FALSE
0.012517182,0.053876967,0.061744576,-1.296142742,-0.210931421,0.004798291,0,FALSE
0.007380398,0.04913497,0.06373774,-1.40295171,-0.210544828,0.00453501,0,FALSE
0.007679191,0.052944838,0.059803489,-1.321710663,-0.208821043,0.004730025,0,FALSE
0.030441716,0.021123627,0.062956571,-0.802190724,-0.206108372,0.00530532,0,FALSE
0.019245292,0.070421421,0.051163288,-0.824996153,-0.205783963,0.004413571,0,FALSE
0.01725656,0.045406451,0.065844529,-0.896827578,-0.204198486,0.004660017,0,FALSE
0.008497794,0.056469983,0.064670408,0.5238277985999938,-0.200330923,0.004323355,0,FALSE
0.016037037,0.054500647,0.050183276,0.4337941540427302,-0.203631314,0.005030216,0,FALSE
0.011191442,0.059174853,0.058548885,0.2108039715439242,-0.201807961,0.004605985,0,FALSE
0.019013539,0.013561514,0.045837136,0.3941028968951645,-0.195122095,0.004792499,1,FALSE
0.019878831,0.079135986,0.060764564,0.3377137097811956,-0.194760483,0.00471565,1,FALSE
0.024091792,0.030061903,0.052058081,0.5814278751254611,-0.192239887,0.0047982,1,FALSE
0.01831775,0.042799878,0.074830339,0.5526227860644515,-0.187745048,0.004556161,1,FALSE
0.014942276,0.084074578,0.048431564,0.2378361290258221,-0.193161882,0.004705929,1,FALSE
0.020094606,0.044735318,0.052796641,0.026449089,-0.194788543,0.004685292,1,FALSE
0.017750864,0.042101628,0.059841364,-0.167146337,-0.19175436,0.00467275,1,FALSE
0.0110315,0.049223098,0.071629913,-0.324981583,-0.188071449,0.004569499,1,FALSE
0.008852072,0.057022481,0.076378473,-0.603205562,-0.190902243,0.004609378,0,FALSE
0.008003898,0.057707173,0.06580192,-0.994902773,-0.195476464,0.004998266,0,FALSE
0.016607447,0.028800986,0.023812907,-0.847473765,-0.188905734,0.004529902,0,FALSE
0.014681531,-1.003286834,-0.325634723,0.3629381854604093,0.6583955355452136,0.005193496,1,FALSE
0.0125293,0.088152221,0.6591115481320963,0.5905709050199676,0.5434403381162625,0.004672711,1,FALSE
0.020335381,1.4270293225388706,0.7585330466662471,0.8904132634340856,0.4827946827797292,0.004652487,1,FALSE
0.012949791,-0.630434983,-0.500805935,0.9029730573793944,0.6197452447561096,0.004751958,1,FALSE
